name,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate_pct,profit_factor,pct_positive_months,max_dd_duration_days,final_equity,years
Equal Weight SP500 (Benchmark),51.89490540816444,10.638144398600557,16.17064590937787,0.5839490248783744,0.7392922457066029,-21.736137719579254,0.48942201856855366,53.6468330134357,1.1376137587984003,63.26530612244898,196,151894.90540816443,4.134920634920635
MA20 2x Top5 LB126 (Conservative),493.5466440002382,53.83471130102924,27.855648280222024,1.6141562719693974,1.8229179025038247,-17.391123733248104,3.095528047914972,73.12859884836853,1.5253158968112568,73.46938775510205,135,593546.6440002382,4.134920634920635
MA20 2x Top7 LB126 (Conservative),453.1103722089192,51.23194767866413,25.037481804353494,1.6984448760929258,1.9860247665255908,-15.559773660365389,3.2925895194198507,73.6084452975048,1.5409279983079802,79.59183673469387,133,553110.3722089191,4.134920634920635
MA20 3x Top5 LB126,1141.8420202955767,83.9042908234221,41.77015197215693,1.618558596895394,1.8229115795842872,-25.563853038946228,3.2821457194107206,73.12859884836853,1.5195523620185163,73.46938775510205,139,1241842.0202955767,4.134920634920635
MA20 3x Top7 LB126,1042.1641953210353,80.22035116476098,37.54214410893337,1.7034133636159385,1.9850336449023969,-22.736774924165214,3.5282203141088746,73.6084452975048,1.5347179586528332,79.59183673469387,133,1142164.1953210353,4.134920634920635
MA20 4x Top5 LB126 ★ Best Return,2305.0924233529313,115.7826451544469,55.68185822258903,1.6210025872509763,1.8232599232036797,-33.26185537579585,3.480943676963378,73.12859884836853,1.5167704276944514,73.46938775510205,139,2405092.4233529316,4.134920634920635
MA20 4x Top7 LB126 ★ Best Sharpe,2115.3022508219474,111.535385397131,50.04395343472926,1.7061777537101248,1.9849620614226613,-29.495986392542306,3.7813749949834303,73.6084452975048,1.5317227419387918,79.59183673469387,133,2215302.2508219476,4.134920634920635
MA20 5x Top5 LB126,4213.050130883719,148.51954643061998,69.59049114667111,1.6226694271216766,1.8237796478641533,-40.47551236470958,3.669367915404414,73.12859884836853,1.5151824452667584,73.46938775510205,139,4313050.130883719,4.134920634920635
MA20 5x Top7 LB126,3937.379366613027,144.58133427923627,62.54260261671081,1.7080685558901674,1.9852998287152364,-35.84510027797433,4.0335034121267865,73.6084452975048,1.530015149240113,79.59183673469387,133,4037379.3666130267,4.134920634920635
MA20 6x Top5 LB126,7061.330668682978,180.941906487039,83.49596130027443,1.6239494094990987,1.8243931300720904,-47.20008097600882,3.8335083912040195,73.12859884836853,1.5141918317849152,73.46938775510205,182,7161330.668682979,4.134920634920635
MA20 6x Top7 LB126,6815.386225087077,178.5774832767839,75.03799184877865,1.7095248078834715,1.985853610361457,-41.793139711447466,4.272889869240194,73.6084452975048,1.5289518734840777,79.59183673469387,134,6915386.225087077,4.134920634920635
MA20 4x Top5 LB63 (3M mom),1066.9413712657463,81.15816982147518,56.017645878986635,1.299103550360016,1.5355998608304766,-40.210379889968095,2.018338798179894,72.45681381957773,1.4038467464976356,71.42857142857143,227,1166941.3712657462,4.134920634920635
MA20 5x Top7 LB63 (3M mom),1898.7458009159222,106.33770929681496,62.39079048607047,1.4357418142715368,1.7349004672157329,-36.12521597207533,2.943586811467471,72.552783109405,1.4354260529398482,71.42857142857143,129,1998745.8009159223,4.134920634920635
Combined (4x Top5 + 4x Top7 + 3x Top5),1812.8796380557571,104.15813303327059,48.54581660141653,1.6702555228405485,1.9060278281847802,-28.438646346844433,3.662555937541241,73.22456813819578,1.5314098924025488,77.55102040816327,135,1912879.6380557572,4.134920634920635
