name,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate_pct,profit_factor,pct_positive_months,max_dd_duration_days,n_trading_days,years,final_equity
Equal Weight SP500 (Benchmark),49.194024312972,10.159130432627418,14.776740142451647,0.5950020736125595,0.7415977614748092,-21.66988745957708,0.46881325302580446,58.157389635316704,1.1448090652247822,63.26530612244898,358,1042,4.134920634920635,149194.024312972
Momentum 6M Top20,46.10939098736229,9.603945723630991,17.425530633017473,0.5001384222023599,0.6295392920113682,-21.582720110702024,0.4449831010350161,61.51631477927063,1.1199822515297022,71.42857142857143,393,1042,4.134920634920635,146109.39098736228
Momentum 6M Top30,50.07435747398829,10.315978724581697,16.95632036911436,0.5474166841389216,0.6870703592821051,-20.740003604561107,0.49739522332161146,61.51631477927063,1.1302313093322398,67.3469387755102,390,1042,4.134920634920635,150074.3574739883
Momentum 12M Top20,54.197517907812085,11.041450258231622,13.405060430611199,0.7009284093591672,0.8430376954293228,-16.874386801569855,0.6543319403585329,67.46641074856046,1.180265065061107,73.46938775510205,128,1042,4.134920634920635,154197.5179078121
Momentum 12M Top30,65.97571072648994,13.03583458935278,12.941584201765627,0.8588809138107668,1.0427416614364833,-15.06559886356408,0.8652715837854773,67.94625719769674,1.2175958020499706,73.46938775510205,128,1042,4.134920634920635,165975.71072648992
Sector Risk Parity,38.673973179544795,8.228198995115466,12.827805637269742,0.5264516200491351,0.6444365168561562,-18.616834879446298,0.44197625688777603,59.309021113243766,1.1377034546704525,63.26530612244898,351,1042,4.134920634920635,138673.9731795448
Quality Momentum,62.53979111188557,12.465428913089994,12.146097187674068,0.8652174867486095,1.057783576742722,-11.681855900919684,1.0670760723994739,67.56238003838772,1.2213666449083591,75.51020408163265,96,1042,4.134920634920635,162539.79111188557
Adaptive Walk-Forward,37.29668192661166,7.967255989065358,10.331386904256668,0.6021823006619377,0.6642818913915585,-11.529425790071862,0.6910366686193571,78.88675623800384,1.2049483585638665,79.59183673469387,83,1042,4.134920634920635,137296.68192661167
2x Leveraged Momentum,62.05210503396423,12.383727968460567,37.294147560093144,0.4485576312160543,0.5438230457381112,-45.88448661412966,0.2698892127224351,58.34932821497121,1.098849384393767,63.26530612244898,470,1042,4.134920634920635,162052.10503396424
3x Leveraged Momentum,54.333278915172855,11.065086080672181,55.939636155914755,0.4371448174535155,0.5299927564621694,-64.77455753183403,0.17082457221315864,58.34932821497121,1.0928785336427471,63.26530612244898,534,1042,4.134920634920635,154333.27891517285
5x Leveraged Momentum,-12.546118437433496,-3.1901152398323362,93.22776662703137,0.42805297383711227,0.5189841233956155,-88.29010638957612,-0.03613219385823477,58.34932821497121,1.0881311870298622,63.26530612244898,909,1042,4.134920634920635,87453.8815625665
Combined (Mom+RP+QM),56.23717956639474,11.394903809300505,11.35796847769947,0.8328224794492202,1.08411497486422,-11.300284138663203,1.0083732116357647,59.02111324376199,1.1971362769138205,67.3469387755102,143,1042,4.134920634920635,156237.17956639474
